[background-preinit] INFO  | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.2.0.Final (Version.java:21)
[restartedMain] INFO  | org.mongodb.driver.cluster                                   | Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'} (SLF4JLogger.java:71)
[cluster-rtt-ClusterId{value='61c35aebee62ed532cf5e06b', description='null'}-localhost:27017] INFO  | org.mongodb.driver.connection                                | Opened connection [connectionId{localValue:2, serverValue:213}] to localhost:27017 (SLF4JLogger.java:71)
[cluster-ClusterId{value='61c35aebee62ed532cf5e06b', description='null'}-localhost:27017] INFO  | org.mongodb.driver.connection                                | Opened connection [connectionId{localValue:1, serverValue:214}] to localhost:27017 (SLF4JLogger.java:71)
[cluster-ClusterId{value='61c35aebee62ed532cf5e06b', description='null'}-localhost:27017] INFO  | org.mongodb.driver.cluster                                   | Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=143069500} (SLF4JLogger.java:71)
[restartedMain] INFO  | org.apache.coyote.http11.Http11NioProtocol                   | Starting ProtocolHandler ["http-nio-8080"] (DirectJDKLog.java:173)
[restartedMain] INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat started on port(s): 8080 (http) with context path '' (TomcatWebServer.java:220)
[restartedMain] INFO  | report.App                                                   | Started App in 12.878 seconds (JVM running for 15.884) (StartupInfoLogger.java:61)
[http-nio-8080-exec-1] INFO  | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] | Initializing Spring DispatcherServlet 'dispatcherServlet' (DirectJDKLog.java:173)
[http-nio-8080-exec-1] INFO  | org.springframework.web.servlet.DispatcherServlet            | Initializing Servlet 'dispatcherServlet' (FrameworkServlet.java:525)
[http-nio-8080-exec-1] INFO  | org.springframework.web.servlet.DispatcherServlet            | Completed initialization in 1 ms (FrameworkServlet.java:547)
[http-nio-8080-exec-1] INFO  | report.controller.ReportController                           | calling method getReport : patientId = 5 (ReportController.java:28)
[http-nio-8081-exec-1] INFO  | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] | Initializing Spring DispatcherServlet 'dispatcherServlet' (DirectJDKLog.java:173)
[http-nio-8081-exec-1] INFO  | org.springframework.web.servlet.DispatcherServlet            | Initializing Servlet 'dispatcherServlet' (FrameworkServlet.java:525)
[http-nio-8081-exec-1] INFO  | org.springframework.web.servlet.DispatcherServlet            | Completed initialization in 1862 ms (FrameworkServlet.java:547)
[http-nio-8081-exec-1] INFO  | patients.controller.PatientController                        | method getPatientById called for id = 5 (PatientController.java:37)
[http-nio-8082-exec-1] INFO  | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] | Initializing Spring DispatcherServlet 'dispatcherServlet' (DirectJDKLog.java:173)
[http-nio-8082-exec-1] INFO  | org.springframework.web.servlet.DispatcherServlet            | Initializing Servlet 'dispatcherServlet' (FrameworkServlet.java:525)
[http-nio-8082-exec-1] INFO  | org.springframework.web.servlet.DispatcherServlet            | Completed initialization in 19 ms (FrameworkServlet.java:547)
[http-nio-8082-exec-1] INFO  | notes.controller.NoteController                              | method getNoteByPatientId called : patientId = 5 (NoteController.java:41)
[http-nio-8082-exec-1] INFO  | org.mongodb.driver.connection                                | Opened connection [connectionId{localValue:3, serverValue:215}] to localhost:27017 (SLF4JLogger.java:71)
[http-nio-8081-exec-3] INFO  | patients.controller.PatientController                        | method getAllPatients called (PatientController.java:31)
[http-nio-8081-exec-4] INFO  | patients.controller.PatientController                        | method getPatientById called for id = 1 (PatientController.java:37)
[http-nio-8082-exec-3] INFO  | notes.controller.NoteController                              | method getNoteByPatientId called : patientId = 1 (NoteController.java:41)
